,description,variety
514,"A blend of Cabernet Sauvignon, Cabernet Franc, Merlot and Petit Verdot, this robust wine opens with aromas of leafy underbrush, mature plum, toast and roasted coffee bean. The palate offers prune, dried cherry, black pepper, graphite and espresso alongside dusty tannins, with the heat of alcohol on the midpalate.",Red Blend
515,"Moderately aromatic, this recalls lime leaf and mineral. It drinks off dry with tangerine and other citrus flavors.",Riesling
516,"A blend of 50% Cabernet Sauvignon, 30% Merlot, 15% Cabernet Franc and 5% Petit Verdot, this conveys aromas of vanilla, oak, red currant and cedar. The hearty palate displays mature plum, dried cherry, espresso and bell pepper alongside drying tannins. It finishes with the heat of alcohol.",Red Blend
517,"This savory blend of Sangiovese, Merlot, Alicante and a dollop of Petit Verdot and Colorino delivers core flavors of crushed plum and ripe blackberry, accented with notes of white pepper, clove and dried herbs. It's easy drinking and balanced, with fine-grained tannins.",Red Blend
518,"This is unusual for a reserve, in that it's lower in alcohol than the regular bottling, and more cases were produced. The light fruits and herbs—green apple and lemon verbena in particular—are highlighted with tarragon and citrus peel. The complexity compensates for the just-on-the-edge ripeness, and time in 20% new oak adds a buttery note to the finish.",Chardonnay
519,"Produced from a selection of small parcels, this perfumed wood-aged wine is big and concentrated while also keeping style and balance. It is dark, firm in the center with tannins that are surrounded by juicy acidity and black currant fruits. Keep for a few more months and drink from 2016.",Red Blend
520,"This Rogue Valley Pinot is markedly different from more familiar Willamette Valley styles. Though not at all fleshy, it has pretty, sculpted strawberry and raspberry fruit, lightly candied and fully ripened. A wash of butterscotch wraps around the pleasing finish.",Pinot Noir
521,"Made from the oldest vines on the estate, this ripe and fruity wine is ready to drink. Its tannins are already integrated, leaving a smooth-textured wine that is accompanied by spice and red plum fruit flavors.",Red Blend
522,"Puckering lime zest and lemon notes are softened by crisp yellow peach and nectarine in this dry, light-bodied Riesling. Racy and brisk, it finishes with an elegant crush of minerals. Drink now.",Riesling
523,"On the nose, this is challenging: gaseous, oaky aromas of wet cement also contain notes of bitter lettuce, baking spices and general grit. Raw, tannic and abrasive on the palate, this unfolds to offer herbal flavors of berry and plum. Tannic, scratchy, rugged and mildly green on the finish.",Red Blend
524,"Muscular, leathery aromas of dark-berry fruits come with a can't-miss animal element. This Grenache-Carignan blend features a powerful grip and grabby texture. Earthy, jammy flavors of raspberry and plum end with herbal accents, dry spice and the taste of bitter black cherry.",Red Blend
525,"This has a very deep red color, spicy aromas like cedar, vanilla and cocoa, and rich, chocolaty, berrylike flavors. While quite full bodied, it's as smooth as velvet due to moderate tannins and soft acidity.",Red Blend
526,"The color is not too deep or too light, showing a red-brick rim. Aromas resemble red cherry and cranberry, while fresh, tart and tangy flavors like cranberry and raspberry combine with firm tannins for a bit of grip in the texture. Lean and medium bodied, it will make a versatile foil for food.",Pinot Noir
527,"Here's a savory, easygoing blend of Cabernet Sauvignon, Merlot, Cabernet Franc and Syrah that opens with aromas of red berry and cooking spice. The fresh palate offers black cherries, crushed strawberries, white pepper and a hint of clove alongside bright acidity and fine-grained tannins. Drink now.",Red Blend
528,"A blend of 80% Nebbiolo and 20% Cabernet Sauvignon aged in barriques, this opens with aromas of bell pepper, cedar and red currant. The palate delivers dried black cherries, coffee, mocha and grilled herbs alongside firm, fine-grained tannins.",Red Blend
529,"A barrel-selection from multiple vineyard sources, this offers black cherry fruit highlighted by root beer and black licorice. Aging nine months in 25% new barrels adds pleasant toastiness to the finish.",Pinot Noir
530,"Sourced from vines planted in the 1980s, this tart and steely wine mixes lemongrass and citrus flavors with hints of riper peach. It finishes with suggestions of fresh-brewed tea.",Riesling
531,"Smoke accents ripe yellow peaches on the nose of this intensely penetrating kabinett. The palate shocks with luscious mango and melon flavors, layered with bristling mineral accents. It finishes long, with a reverberating astringency.",Riesling
532,"Rich and full in the mouth, this is a wine with structure, tight minera ltexture and beautifully juicy fruit. The acidity is a strong part of this wine, giving a citrus tang to go over the wood aging. Drink from 2016.",Chardonnay
533,"An intense and fresh wine that is packed with acidity as well as powerful red fruits. It is breathtakingly fruity at this stage, the structure still developing and giving a delicious perfumed berry character. Drink from 2015.",Pinot Noir
534,"Lots of purity, with acidity and stony minerality providing earthy balance to the lemon, lime and mango fruit flavors. Thoroughly dry, it's a classy wine to drink now.",Chardonnay
535,"This beautiful Pinot Noir is a blend of various vineyards throughout the appellation. It shows classic coastal acidity, dryness and silkiness, with appealing raspberry, red licorice, cola and pomegranate flavors, wrapped into finely ground tannins. Decant and drink now.",Pinot Noir
536,"The cool 2011 vintage has kept this bottling from being as ripe as previous wines from this producer. It's certainly leaner, but for all that, it's dry, silky and elegantly complex in its own way, with dried raspberry, tea and white pepper flavors. It could surprise after 2017.",Pinot Noir
537,"Because strong toast aromas show through this wine, its attractive full fruit will need time to come through. The wine, with its firm, almost red-wine structure, needs to age until 2016 before drinking.",Chardonnay
538,"Bone dry, this succulent, citrus-soaked Riesling is a textural marvel. Mixing grapefruit, lime and pear fruit flavors, its racy acidity underscores its complexity.",Riesling
539,"This wine is made in the style of the winery's marvelous Finch Hollow Chardonnays, but is just a little less concentrated. Dry, crisp and elegantly clean, it has complex, mineral-infused flavors of tangerines, peaches and limes, enhanced with lots of smoky new oak. It should hold in the bottle through 2016.",Chardonnay
540,"Showing richness, this wine is smooth and well balanced between ripe red berry fruits and generous tannins. The wood aging shows in a slight burnt edge, but this will pass as the wine develops. Drink from 2016.",Pinot Noir
541,"With a licorice, chemise and cherry-laden nose reminiscent of a hillside hike through the chaparral in the morning dew, this wine is rather tannic on entry, tending toward chamomile tea with cranberry fruit. With a strong tannic backbone, it could drink well for awhile.",Pinot Noir
542,"Candied red-berry aromas are pasty at first, with a twinge of green. In the mouth, this is wiry and jammy feeling, with juicy acids. Herbal, slightly green flavors of olive, toast and berry fruits finish minty and a bit hot.",Cabernet Sauvignon
543,"Blackberry liqueur, violet, cola and slight dustiness form the nose of this well-priced wine. The flavors are a bit thinner than expected, most reminiscent of ripe pomegranate.",Cabernet Sauvignon
544,"The Red Pony brand is putting out reliably distinct wines. This one smells of cranberry, oregano and barnyard. The tannins and acidity are solid, with strawberry and pomegranate flavors leading to an earthy finish. Hold until 2016 for an even smoother time.",Pinot Noir
545,"The lightest wine in the winery's well-crafted lineup, this marries grapefruity acidity to tart cherry fruit. It's nicely balanced, airy and a pleasure to drink.",Pinot Noir
